# RAW POOL — curate into data/ground_truth.csv. Keep ambiguous pairs;
# turn some off_crop rows into cross_domain (true_label=REJECT, off-crop query).
image_filename,true_label,crop,case_type,notes
corn___common_rust_000.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_001.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_002.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_003.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_004.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_005.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_006.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_007.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_008.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_009.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_010.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_011.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_012.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_013.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_014.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_015.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_016.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_017.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_018.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_019.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_020.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_021.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_022.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_023.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_024.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_025.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_026.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_027.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_028.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_029.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_030.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_031.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_032.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_033.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_034.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_035.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_036.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_037.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_038.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_039.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_040.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_041.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_042.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_043.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_044.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_045.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_046.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_047.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_048.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
corn___common_rust_049.jpg,Common Rust,corn,off_crop,pool from Corn___Common_rust
grape___black_rot_000.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_001.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_002.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_003.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_004.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_005.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_006.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_007.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_008.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_009.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_010.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_011.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_012.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_013.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_014.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_015.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_016.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_017.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_018.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_019.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_020.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_021.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_022.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_023.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_024.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_025.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_026.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_027.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_028.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_029.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_030.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_031.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_032.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_033.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_034.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_035.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_036.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_037.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_038.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_039.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_040.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_041.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_042.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_043.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_044.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_045.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_046.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_047.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_048.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
grape___black_rot_049.jpg,Black Rot,grape,off_crop,pool from Grape___Black_rot
potato___early_blight_000.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_001.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_002.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_003.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_004.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_005.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_006.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_007.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_008.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_009.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_010.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_011.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_012.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
potato___early_blight_013.jpg,Early Blight,potato,ambiguous,pool from Potato___Early_blight
